Jogo	Bola1	Bola2	Bola3	Bola4	Bola5	Bola6	Bola7	Bola8	Bola9	Bola10	Bola11	Bola12	Bola13	Bola14	Bola15
J1	2	3	5	6	9	10	11	13	14	16	18	20	23	24	25
J2	1	4	5	6	7	9	11	12	13	15	16	19	20	23	24
J3	1	4	6	7	8	9	10	11	12	14	16	17	20	23	24
J4	1	2	4	5	8	10	12	13	16	17	18	19	23	24	25
J5	1	2	4	8	9	11	12	13	15	16	19	20	23	24	25
J6	1	2	4	5	6	7	10	12	15	16	17	19	21	23	25
J7	1	4	7	8	10	12	14	15	16	18	19	21	22	23	25
J8	1	5	6	8	9	10	13	15	16	17	18	19	20	22	25
J9	3	4	5	9	10	11	13	15	16	17	19	20	21	24	25
J10	2	3	4	5	6	8	9	10	11	12	14	19	20	23	24
J11	2	6	7	8	9	10	11	12	16	19	20	22	23	24	25
J12	1	2	4	5	7	8	9	10	11	12	14	16	17	24	25
J13	3	5	6	7	8	9	10	11	13	14	15	16	17	19	23
J14	1	2	5	6	7	9	13	14	15	18	19	20	21	23	25
J15	1	2	4	6	8	10	12	15	16	18	19	21	23	24	25
J16	2	5	6	7	8	10	12	13	15	17	19	21	23	24	25
J17	1	2	3	5	6	7	9	13	14	16	17	18	19	20	21
J18	2	6	7	8	10	11	14	15	17	18	19	20	22	23	24
J19	2	5	6	7	8	10	11	13	14	15	16	17	20	23	24
J20	3	4	6	7	8	9	10	14	16	17	18	19	20	23	24
J21	1	2	4	5	8	11	14	16	18	19	20	22	23	24	25
J22	1	2	3	4	5	6	7	9	10	12	13	14	15	22	25
J23	1	3	4	5	6	8	10	11	12	14	16	17	18	19	20
J24	1	2	3	5	7	10	11	14	17	19	20	21	23	24	25
J25	1	2	3	4	5	6	7	9	13	14	16	20	22	23	24
J26	5	7	8	9	10	11	13	14	16	17	19	20	21	22	23
J27	3	6	8	10	11	12	13	14	15	18	20	21	22	24	25
J28	1	3	7	9	10	11	12	13	14	16	17	18	19	20	21
J29	1	4	5	6	8	9	13	14	16	17	19	20	21	22	24
J30	1	2	3	4	6	7	8	11	14	17	19	20	21	22	23
