Concurso;Data Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Bola7;Bola8;Bola9;Bola10;Bola11;Bola12;Bola13;Bola14;Bola15;Bola16;Bola17;Bola18;Bola19;Bola20;Rateio 20 acertos;Rateio 19 acertos;Rateio 18 acertos;Rateio 17 acertos;Rateio 16 acertos;Rateio 15 acertos;Rateio Nenhum Número
1;02/10/1999;0;6;11;14;16;21;22;25;32;33;34;46;61;70;73;78;88;89;90;95;R$0,00;R$118.746,87;R$2.581,46;R$132,62;R$21,78;-;R$0,00
2;09/10/1999;8;11;14;17;18;24;29;37;44;49;51;55;62;63;64;76;82;84;93;97;R$0,00;R$23.661,54;R$1.840,34;R$91,53;R$15,59;-;R$0,00
3;16/10/1999;8;10;11;17;20;22;28;34;45;47;48;54;55;57;67;74;79;85;91;99;R$0,00;R$17.255,54;R$1.698,38;R$85,51;R$14,57;-;R$440.698,42
4;23/10/1999;5;12;14;25;30;35;39;41;44;49;51;55;60;63;64;67;78;83;93;98;R$0,00;R$36.264,60;R$1.616,25;R$101,06;R$16,46;-;R$96.705,62
5;30/10/1999;0;8;17;20;28;32;39;42;43;51;54;59;65;69;71;73;87;92;98;99;R$0,00;R$49.935,40;R$2.555,75;R$139,01;R$22,21;-;R$324.580,09
6;06/11/1999;12;13;17;20;24;27;30;33;35;42;47;48;58;72;73;74;75;76;80;93;R$0,00;R$26.456,81;R$1.503,86;R$102,57;R$17,27;-;R$357.166,93
7;13/11/1999;3;6;18;19;23;36;39;45;46;50;56;59;64;70;73;85;92;94;97;99;R$1.838.697,10;R$22.428,15;R$1.535,62;R$94,59;R$16,03;-;R$0,00
8;20/11/1999;0;5;7;10;11;19;26;33;41;47;53;57;59;65;74;75;83;84;94;99;R$0,00;R$23.309,91;R$1.953,35;R$106,20;R$17,74;-;R$387.891,78
9;27/11/1999;0;1;3;7;9;10;17;21;22;29;30;32;36;60;67;69;70;73;77;98;R$1.043.588,26;R$24.719,78;R$1.370,60;R$84,97;R$14,04;-;R$173.038,45
10;04/12/1999;8;9;25;28;34;38;41;42;47;51;55;60;63;65;79;81;86;87;95;98;R$1.048.263,02;R$41.108,35;R$2.418,14;R$122,75;R$19,17;-;R$0,00
11;11/12/1999;8;14;16;24;34;35;46;51;53;54;58;64;71;74;78;79;83;87;93;94;R$0,00;R$21.374,48;R$1.271,34;R$75,38;R$13,78;-;R$0,00
12;18/12/1999;5;10;16;20;21;22;28;32;36;37;39;43;49;52;56;63;65;81;88;89;R$0,00;R$31.192,91;R$1.649,62;R$89,05;R$14,53;-;R$0,00
13;24/12/1999;0;2;3;6;32;35;42;47;56;58;59;66;68;75;76;79;82;84;88;91;R$0,00;R$30.556,86;R$1.992,84;R$124,31;R$18,87;-;R$0,00
14;31/12/1999;3;4;11;13;18;29;30;36;37;40;43;52;55;59;76;81;83;85;86;97;R$3.840.753,34;R$91.464,52;R$2.795,86;R$139,20;R$20,93;-;R$0,00
15;08/01/2000;4;5;12;13;14;15;19;22;26;29;31;38;41;48;54;65;73;92;94;97;R$0,00;R$25.918,51;R$1.845,83;R$95,02;R$16,04;-;R$1.940.694,24
16;15/01/2000;1;10;11;12;13;16;22;29;45;46;48;49;51;57;59;63;73;78;91;94;R$938.973,74;R$33.153,73;R$2.172,14;R$104,57;R$15,77;-;R$0,00
17;22/01/2000;1;13;19;22;29;30;31;37;38;39;43;47;59;61;78;79;92;96;97;98;R$894.163,51;R$66.234,33;R$2.852,20;R$142,48;R$22,14;-;R$306.507,51
18;29/01/2000;0;5;16;32;34;40;46;47;59;60;69;70;76;78;79;85;91;92;96;97;R$864.459,26;R$57.630,62;R$3.312,10;R$163,95;R$24,11;-;R$0,00
19;05/02/2000;0;8;10;11;13;18;21;25;31;33;36;48;53;67;77;82;86;94;98;99;R$902.634,35;R$20.058,54;R$1.055,72;R$68,69;R$12,60;-;R$0,00
20;12/02/2000;20;26;30;31;42;43;51;55;59;60;61;65;70;71;72;75;84;90;93;97;R$0,00;R$43.151,83;R$2.314,66;R$124,61;R$19,44;-;R$0,00
21;19/02/2000;2;7;8;16;26;29;38;41;45;54;59;67;71;73;75;77;89;92;97;99;R$937.293,98;R$22.262,06;R$1.431,48;R$95,89;R$16,91;-;R$1.213.893,95
22;26/02/2000;0;5;11;13;23;29;33;37;38;41;42;45;49;56;79;84;85;93;94;95;R$0,00;R$38.022,82;R$2.447,82;R$114,19;R$18,48;-;R$0,00
23;04/03/2000;4;17;18;19;24;25;26;28;31;32;37;40;41;53;60;64;77;78;89;99;R$0,00;R$39.634,81;R$2.804,35;R$146,89;R$20,69;-;R$0,00
24;11/03/2000;1;11;13;23;32;41;42;43;45;46;48;49;50;51;59;66;75;86;94;95;R$0,00;R$16.289,70;R$1.366,97;R$82,80;R$13,73;-;R$0,00
25;18/03/2000;5;19;21;31;45;46;47;48;49;59;64;73;82;85;88;92;93;94;95;98;R$3.646.800,74;R$27.196,29;R$1.500,90;R$89,15;R$14,39;-;R$607.800,16
26;25/03/2000;3;4;5;13;15;19;27;30;32;33;42;48;49;51;53;66;78;81;88;92;R$0,00;R$38.269,10;R$2.007,12;R$88,45;R$14,37;-;R$0,00
27;01/04/2000;1;3;6;16;19;21;31;32;39;56;58;59;61;71;75;82;84;86;91;98;R$0,00;R$15.700,91;R$1.147,37;R$75,00;R$14,82;-;R$0,00
28;08/04/2000;5;24;33;37;41;44;45;49;54;56;57;60;64;65;67;68;73;85;89;96;R$912.367,69;R$7.267,38;R$309,11;R$43,06;R$13,43;-;R$0,00
29;15/04/2000;1;2;5;9;11;27;29;42;53;61;68;69;74;78;84;85;86;87;93;96;R$0,00;R$118.678,95;R$3.090,60;R$168,32;R$26,43;-;R$1.209.065,13
30;22/04/2000;0;5;15;22;23;24;29;33;34;36;40;42;43;49;60;61;71;72;79;97;R$0,00;R$51.716,72;R$2.522,77;R$127,16;R$20,17;-;R$0,00
31;29/04/2000;0;1;7;8;10;13;14;15;24;35;43;44;48;52;53;64;68;73;79;94;R$2.584.623,58;R$23.558,48;R$1.388,94;R$79,88;R$13,75;-;R$564.843,85
32;06/05/2000;5;12;17;20;23;28;29;39;41;42;49;66;67;76;79;80;83;92;94;95;R$0,00;R$62.645,54;R$2.998,99;R$140,71;R$20,56;-;R$140.952,48
33;13/05/2000;6;11;12;13;14;23;28;33;34;39;49;52;56;60;71;76;82;86;90;93;R$1.778.696,06;R$62.198,75;R$2.947,81;R$135,36;R$21,67;-;R$0,00
34;20/05/2000;2;9;12;14;19;20;23;24;28;44;45;51;54;58;61;66;77;79;82;89;R$212.878,36;R$40.548,26;R$1.837,14;R$108,89;R$17,70;-;R$0,00
35;27/05/2000;4;8;11;12;14;22;23;28;36;42;47;48;49;53;54;60;67;85;88;99;R$0,00;R$25.830,80;R$1.498,47;R$81,00;R$13,46;-;R$0,00
36;03/06/2000;5;9;16;17;43;50;51;55;56;57;58;65;69;71;76;78;85;86;88;89;R$0,00;R$21.343,60;R$2.409,76;R$128,53;R$16,35;-;R$582.432,72
37;10/06/2000;1;3;6;9;17;20;21;35;38;43;44;50;52;55;73;74;82;97;98;99;R$892.612,72;R$26.881,58;R$2.009,84;R$120,55;R$19,12;-;R$322.578,94
38;17/06/2000;2;4;11;12;20;23;30;35;36;49;53;55;56;57;58;61;66;83;98;99;R$842.858,00;R$37.460,36;R$2.302,89;R$119,65;R$17,77;-;R$280.952,67
39;24/06/2000;0;2;5;9;11;17;18;24;26;30;33;38;44;52;57;70;72;78;81;84;R$252.787,51;R$14.869,85;R$1.373,85;R$79,81;R$14,28;-;R$252.787,54
40;01/07/2000;5;7;8;9;16;25;41;43;51;55;57;62;67;74;77;80;83;86;90;99;R$788.929,89;R$47.813,93;R$2.286,76;R$123,56;R$20,11;-;R$262.976,66
41;08/07/2000;4;9;11;22;26;29;33;37;41;47;50;52;58;64;65;71;77;82;86;98;R$850.388,26;R$25.769,34;R$1.540,56;R$96,27;R$16,38;-;R$141.731,38
42;15/07/2000;3;12;18;20;21;29;35;41;47;48;64;67;73;74;75;80;83;86;89;99;R$833.924,00;R$42.765,00;R$2.214,00;R$115,00;R$18,00;-;R$0,00
43;22/07/2000;6;8;17;18;19;30;31;32;39;53;54;58;75;77;84;86;90;93;94;96;R$0,00;R$41.744,20;R$2.811,79;R$133,33;R$21,35;-;R$549.311,98
44;29/07/2000;0;8;15;18;23;28;32;36;38;40;44;52;54;72;77;78;80;81;87;99;R$0,00;R$21.839,28;R$1.502,18;R$84,65;R$15,06;-;R$0,00
45;05/08/2000;0;1;3;14;18;24;30;33;37;41;42;57;67;68;69;70;74;80;86;90;R$2.616.196,83;R$42.242,37;R$2.475,14;R$132,12;R$18,32;-;R$0,00
46;12/08/2000;0;2;5;9;12;24;25;28;31;32;41;45;50;63;78;81;93;94;97;98;R$0,00;R$33.776,39;R$2.563,39;R$122,12;R$17,89;-;R$0,00
47;19/08/2000;7;10;11;18;21;31;34;39;42;50;70;75;78;80;82;89;92;95;96;97;R$0,00;R$59.434,47;R$3.032,37;R$141,70;R$19,75;-;R$0,00
48;26/08/2000;0;5;9;13;14;15;18;30;34;35;37;45;47;56;64;68;70;74;88;98;R$1.340.918,86;R$22.938,84;R$1.596,26;R$89,14;R$12,89;-;R$1.494.674,30
49;02/09/2000;21;29;31;37;40;44;45;50;55;61;62;79;80;81;83;85;86;88;95;97;R$819.254,00;R$60.685,48;R$2.588,48;R$134,06;R$19,92;-;R$273.084,68
50;09/09/2000;0;6;8;20;24;26;27;28;30;34;39;40;42;43;54;66;68;71;73;82;R$813.621,08;R$54.241,41;R$1.732,95;R$91,48;R$15,06;-;R$271.207,05
51;16/09/2000;1;3;4;10;16;21;40;41;46;47;51;53;57;60;63;75;82;83;89;98;R$0,00;R$43.690,81;R$2.176,17;R$108,07;R$19,41;-;R$283.990,26
52;23/09/2000;1;6;9;13;18;26;31;37;45;50;53;65;69;73;80;81;85;87;89;99;R$860.049,21;R$12.581,56;R$1.247,31;R$79,53;R$12,49;-;R$72.343,98
